itemid,label,fluid,category
50808,free calcium,blood,blood gas
50826,tidal volume,blood,blood gas
50813,lactate,blood,blood gas
52029,% ionized calcium,blood,blood gas
50801,alveolar-arterial gradient,blood,blood gas
50810,"hematocrit, calculated",blood,blood gas
52025,delete,blood,blood gas
52031,osmolality,blood,blood gas
52022,"albumin, blood",blood,blood gas
50806,"chloride, whole blood",blood,blood gas
50820,ph,blood,blood gas
52028,hematocrit,blood,blood gas
52036,voided specimen,blood,blood gas
50812,intubated,blood,blood gas
50817,oxygen saturation,blood,blood gas
52035,total calcium,blood,blood gas
50823,required o2,blood,blood gas
52024,"creatinine, whole blood",blood,blood gas
52037,wb tco2,blood,blood gas
50815,o2 flow,blood,blood gas
52452,"potassium, whole blood",blood,blood gas
50804,calculated total co2,blood,blood gas
52030,lithium,blood,blood gas
50811,hemoglobin,blood,blood gas
50824,"sodium, whole blood",blood,blood gas
52033,specimen type,blood,blood gas
52027,"glucose, whole blood",blood,blood gas
50802,base excess,blood,blood gas
50814,methemoglobin,blood,blood gas
52034,total calcium,blood,blood gas
52442,lactate,blood,blood gas
50818,pco2,blood,blood gas
50828,ventilator,blood,blood gas
50809,glucose,blood,blood gas
50821,po2,blood,blood gas
52026,estimated gfr (mdrd equation),blood,blood gas
52434,"chloride, whole blood",blood,blood gas
50803,"calculated bicarbonate, whole blood",blood,blood gas
52023,assist/control,blood,blood gas
50822,"potassium, whole blood",blood,blood gas
50827,ventilation rate,blood,blood gas
52032,p50 of hemoglobin,blood,blood gas
50819,peep,blood,blood gas
52021,abz,blood,blood gas
50805,carboxyhemoglobin,blood,blood gas
50816,oxygen,blood,blood gas
50825,temperature,blood,blood gas
52455,"sodium, whole blood",blood,blood gas
52039,calculated bicarbonate,fluid,blood gas
52042,po2,fluid,blood gas
52040,pco2,fluid,blood gas
52038,base excess,fluid,blood gas
52041,ph,fluid,blood gas
52045,"ph, urine",urine,blood gas
52044,"osmolality, urine",urine,blood gas
52047,"sodium, urine",urine,blood gas
52046,"potassium, urine",urine,blood gas
52043,voided specimen,other body fluid,blood gas
50829,fluid type,other body fluid,blood gas
50833,potassium,other body fluid,blood gas
50834,"sodium, body fluid",other body fluid,blood gas
50832,"po2, body fluid",other body fluid,blood gas
50831,ph,other body fluid,blood gas
50830,"pco2, body fluid",other body fluid,blood gas
50858,acid phosphatase,blood,chemistry
50879,barbiturate screen,blood,chemistry
50900,carcinoembyronic antigen (cea),blood,chemistry
50914,cyclosporin,blood,chemistry
51582,ch50,blood,chemistry
51615,epstein-barr virus ebna igg ab,blood,chemistry
51672,immune complexes,blood,chemistry
51685,lidocaine,blood,chemistry
51755,white blood cells,blood,chemistry
51773,rfxfrkl,blood,chemistry
53153,hiv screen,blood,chemistry
50925,folate,blood,chemistry
50927,gamma glutamyltransferase,blood,chemistry
50953,"iron binding capacity, total",blood,chemistry
51007,uric acid,blood,chemistry
51670,icd9,blood,chemistry
51740,toxic screen,blood,chemistry
51743,toxoplasma igm ab,blood,chemistry
51757,xxx,blood,chemistry
53146,anti hav,blood,chemistry
50854,absolute a1c,blood,chemistry
50887,blue top hold,blood,chemistry
50945,homocysteine,blood,chemistry
50958,luteinizing hormone,blood,chemistry
50993,thyroid stimulating hormone,blood,chemistry
51557,anti-microsomal antibody,blood,chemistry
51659,hpe3,blood,chemistry
51683,"ld, isoenzyme 4",blood,chemistry
51693,mumps igg ab,blood,chemistry
51709,quantitative rpr test,blood,chemistry
51734,stx3,blood,chemistry
50870,"anti-gliadin antibody, iga",blood,chemistry
50979,red top hold,blood,chemistry
51010,vitamin b12,blood,chemistry
50893,"calcium, total",blood,chemistry
50899,carbamazepine,blood,chemistry
51567,beta hydroxybutyrate,blood,chemistry
51580,calculated ck-mb,blood,chemistry
51629,fructosamine plus,blood,chemistry
51658,hpe2,blood,chemistry
51681,"ld, isoenzyme 2",blood,chemistry
51695,myoglobin,blood,chemistry
51724,rubella igg ab,blood,chemistry
51756,white blood cells,blood,chemistry
50866,ammonia,blood,chemistry
50871,anti-mitochondrial antibody,blood,chemistry
50918,double stranded dna,blood,chemistry
51625,free kappa,blood,chemistry
51641,hemoglobin  a,blood,chemistry
50869,anti-dgp (iga/igg),blood,chemistry
50936,"hcg, maternal screen",blood,chemistry
50977,quinidine,blood,chemistry
50991,thyroglobulin,blood,chemistry
51590,cmv interpretation,blood,chemistry
51651,hepatitis c viral load,blood,chemistry
51708,qnthbsab,blood,chemistry
53086,alkaline phosphatase,blood,chemistry
50960,magnesium,blood,chemistry
51009,vancomycin,blood,chemistry
51633,hbeag,blood,chemistry
51742,toxoplasma igg ab value,blood,chemistry
50915,d-dimer,blood,chemistry
50983,sodium,blood,chemistry
51589,cmv igm ab value,blood,chemistry
51597,cvhlc,blood,chemistry
51640,hemoglobin,blood,chemistry
51660,hpe4,blood,chemistry
52562,folate,blood,chemistry
50917,digoxin,blood,chemistry
51569,"bilirubin, neonatal, direct",blood,chemistry
51729,serum b12,blood,chemistry
51732,stx1,blood,chemistry
52500,anion gap,blood,chemistry
53088,asparate aminotransferase,blood,chemistry
50923,fax,blood,chemistry
50926,follicle stimulating hormone,blood,chemistry
50949,immunoglobulin a,blood,chemistry
50965,parathyroid hormone,blood,chemistry
50980,rheumatoid factor,blood,chemistry
50981,salicylate,blood,chemistry
50986,tacrofk,blood,chemistry
51585,clostrid,blood,chemistry
51604,delete,blood,chemistry
51620,epstein-barr virus vca igm ab,blood,chemistry
51650,hepatitis b virus e antigen,blood,chemistry
51686,lip2,blood,chemistry
51689,lyme g and m value,blood,chemistry
51710,rapid plasma reagin test,blood,chemistry
51741,toxoplasma igg ab,blood,chemistry
51772,pan3,blood,chemistry
50905,"cholesterol, ldl, calculated",blood,chemistry
50928,gastrin,blood,chemistry
50948,immunofixation,blood,chemistry
50964,"osmolality, measured",blood,chemistry
51634,hbsag,blood,chemistry
51657,hpe1,blood,chemistry
51673,immunoelectrophoresis,blood,chemistry
51759,z,blood,chemistry
50895,calculated tbg,blood,chemistry
51687,lipo electrophoresis,blood,chemistry
51745,toxoplasma interpretation,blood,chemistry
53140,aldosterone,blood,chemistry
50997,tobramycin,blood,chemistry
51568,"bilirubin, neonatal",blood,chemistry
51577,c5,blood,chemistry
51592,conj bili,blood,chemistry
51594,"creatine kinase, isoenzyme bb",blood,chemistry
51602,delete,blood,chemistry
51774,rfxhcv,blood,chemistry
50876,anti-smooth muscle antibody,blood,chemistry
50894,calculated free testosterone,blood,chemistry
50955,light green top hold,blood,chemistry
51583,chol estr,blood,chemistry
51700,np-fx,blood,chemistry
51713,reflex confirmatory hepatitis c viral load,blood,chemistry
51748,treponema pallidum (syphilis) ab,blood,chemistry
53150,anti hbs,blood,chemistry
50942,hepatitis b virus core antibody,blood,chemistry
50950,immunoglobulin g,blood,chemistry
50974,prostate specific antigen,blood,chemistry
50999,tricyclic antidepressant screen,blood,chemistry
51004,"ue3, maternal screen",blood,chemistry
51559,anti-ro,blood,chemistry
51564,arch-1,blood,chemistry
51596,"creatine kinase, isoenzyme mm",blood,chemistry
51611,down syndrome risk,blood,chemistry
51676,insulin,blood,chemistry
51749,treponema pallidum (syphilis) value,blood,chemistry
50852,% hemoglobin a1c,blood,chemistry
50886,blood culture hold,blood,chemistry
51581,carotene,blood,chemistry
51720,reserved4,blood,chemistry
51752,voided specimen,blood,chemistry
53144,anca titer,blood,chemistry
50902,chloride,blood,chemistry
50972,procainamide,blood,chemistry
50973,prolactin,blood,chemistry
50976,"protein, total",blood,chemistry
51560,anti-sars-cov-2 iga,blood,chemistry
51613,eag,blood,chemistry
51628,fructosamine,blood,chemistry
51635,hbsag,blood,chemistry
51638,hematocrit,blood,chemistry
51712,referred,blood,chemistry
51738,thyroid binding globulin,blood,chemistry
53084,alanine aminotransferase,blood,chemistry
50868,anion gap,blood,chemistry
50874,"anti-nuclear antibody, titer",blood,chemistry
50922,ethanol,blood,chemistry
50966,phenobarbital,blood,chemistry
50998,transferrin,blood,chemistry
51637,"hcg, qualitative",blood,chemistry
51667,h. pylori igg ab value,blood,chemistry
51696,neural tube defect risk,blood,chemistry
52610,potassium,blood,chemistry
50883,"bilirubin, direct",blood,chemistry
51576,c2,blood,chemistry
51692,"monospot, rapid antigen",blood,chemistry
51699,not done,blood,chemistry
51761,zinc,blood,chemistry
50861,alanine aminotransferase (alt),blood,chemistry
50863,alkaline phosphatase,blood,chemistry
50881,beta-2 microglobulin,blood,chemistry
50913,cryoglobulin,blood,chemistry
51572,bioavailable testosterone,blood,chemistry
51631,glycated hemoglobin,blood,chemistry
51636,"hcg, multiples of median",blood,chemistry
51649,hepatitis b virus e antibody,blood,chemistry
51767,ee5,blood,chemistry
50896,calculated thyroxine (t4) index,blood,chemistry
50930,globulin,blood,chemistry
50933,green top hold (plasma),blood,chemistry
50940,hepatitis b surface antibody,blood,chemistry
50941,hepatitis b surface antigen,blood,chemistry
51598,cytomegalovirus viral load,blood,chemistry
51601,delete,blood,chemistry
53129,3t,blood,chemistry
53137,afp mom,blood,chemistry
51648,hepatitis b viral load,blood,chemistry
51704,platelet count,blood,chemistry
51735,stx4,blood,chemistry
51763,ee2,blood,chemistry
53087,amylase,blood,chemistry
53141,alpha-1,blood,chemistry
53143,alpha-2,blood,chemistry
50865,amikacin,blood,chemistry
50885,"bilirubin, total",blood,chemistry
50921,estradiol,blood,chemistry
51609,disopyramide,blood,chemistry
51617,epstein-barr virus igm ab value,blood,chemistry
51621,ethylene glycol,blood,chemistry
51623,fibrinogen,blood,chemistry
51632,growth hormone,blood,chemistry
51643,hemoglobin  a2,blood,chemistry
51664,hpe8,blood,chemistry
51770,mdrdgfr,blood,chemistry
52623,sodium,blood,chemistry
53128,11-deoxycorticosterone,blood,chemistry
50857,acetone,blood,chemistry
50907,"cholesterol, total",blood,chemistry
50994,thyroxine (t4),blood,chemistry
51005,uptake ratio,blood,chemistry
51575,c1q,blood,chemistry
51678,l,blood,chemistry
51725,rubeola igg ab,blood,chemistry
51726,rubeola igg ab value,blood,chemistry
51762,ee1,blood,chemistry
53142,alpha-1-antitrypsin,blood,chemistry
50884,"bilirubin, indirect",blood,chemistry
50931,glucose,blood,chemistry
50952,iron,blood,chemistry
50968,"phenytoin, free",blood,chemistry
51647,hemoglobin  s,blood,chemistry
51680,"ld, isoenzyme 1",blood,chemistry
51682,"ld, isoenzyme 3",blood,chemistry
51707,progesterone,blood,chemistry
51750,"ue3, multiples of median",blood,chemistry
50897,call,blood,chemistry
50908,ck-mb index,blood,chemistry
50954,lactate dehydrogenase (ld),blood,chemistry
50978,rapamycin,blood,chemistry
50984,stat,blood,chemistry
51618,epstein-barr virus interpretation,blood,chemistry
51690,lymphocytes,blood,chemistry
51733,stx2,blood,chemistry
51751,uncon bil,blood,chemistry
53147,anti hbc,blood,chemistry
53154,lactate,blood,chemistry
50860,"afp, maternal screen",blood,chemistry
50877,anti-thyroglobulin antibodies,blood,chemistry
51562,anti-skin antibody,blood,chemistry
51578,c6,blood,chemistry
51645,"hemoglobin, calculated",blood,chemistry
51669,htlv ab,blood,chemistry
51688,lyme c6 ab,blood,chemistry
51694,mumps igg ab value,blood,chemistry
51717,reserved,blood,chemistry
51722,rfxldlm,blood,chemistry
52569,glucose,blood,chemistry
52647,urea nitrogen,blood,chemistry
53094,hbv vl ct,blood,chemistry
50898,cancer antigen 27.29,blood,chemistry
50904,"cholesterol, hdl",blood,chemistry
50946,human chorionic gonadotropin,blood,chemistry
50971,potassium,blood,chemistry
50975,protein electrophoresis,blood,chemistry
51000,triglycerides,blood,chemistry
51573,bromide,blood,chemistry
51610,dlta bili,blood,chemistry
51612,dr. x,blood,chemistry
51627,free lambda,blood,chemistry
51656,hlap,blood,chemistry
53096,"protein, total",blood,chemistry
50882,bicarbonate,blood,chemistry
50888,blue top hold frozen,blood,chemistry
50901,centromere,blood,chemistry
50992,thyroid peroxidase antibodies,blood,chemistry
51566,beta,blood,chemistry
51584,chylomicrons,blood,chemistry
51599,d,blood,chemistry
51744,toxoplasma igm ab value,blood,chemistry
50890,c3,blood,chemistry
50916,dhea-sulfate,blood,chemistry
50935,haptoglobin,blood,chemistry
51593,copper,blood,chemistry
51606,digitoxin,blood,chemistry
51668,hsap,blood,chemistry
53138,(albumin),blood,chemistry
50864,alpha-fetoprotein,blood,chemistry
50938,hepatitis a virus igm antibody,blood,chemistry
50959,macro prolactin,blood,chemistry
50967,phenytoin,blood,chemistry
50995,"thyroxine (t4), free",blood,chemistry
51646,hemoglobin  f,blood,chemistry
51706,problem specimen,blood,chemistry
51714,reflex hiv confirmation,blood,chemistry
51764,ee7,blood,chemistry
51769,rubiggv,blood,chemistry
51771,,blood,chemistry
53145,anti-gbm antibody,blood,chemistry
50862,albumin,blood,chemistry
50911,"creatine kinase, mb isoenzyme",blood,chemistry
50969,"phenytoin, percent free",blood,chemistry
51721,reverse t3,blood,chemistry
51731,single stranded dna,blood,chemistry
53132,absolute lymphocyte count,blood,chemistry
50982,sex hormone binding globulin,blood,chemistry
51565,argon,blood,chemistry
51746,transferrin saturation,blood,chemistry
50859,"acid phosphatase, non-prostatic",blood,chemistry
50878,asparate aminotransferase (ast),blood,chemistry
50912,creatinine,blood,chemistry
50957,lithium,blood,chemistry
50985,study tubes,blood,chemistry
50990,theophylline,blood,chemistry
51006,urea nitrogen,blood,chemistry
51608,dirlst,blood,chemistry
51698,no md,blood,chemistry
52546,creatinine,blood,chemistry
50867,amylase,blood,chemistry
50906,"cholesterol, ldl, measured",blood,chemistry
50939,"hepatitis b core antibody, igm",blood,chemistry
51003,troponin t,blood,chemistry
51652,high-sensitivity crp,blood,chemistry
51675,inr(pt),blood,chemistry
51730,serum folate,blood,chemistry
51758,xylose,blood,chemistry
53130,4t,blood,chemistry
50892,ca-125,blood,chemistry
50970,phosphate,blood,chemistry
51556,anti-microsomal antibodies,blood,chemistry
51574,c1 inhibitor,blood,chemistry
51607,"dimeric inhibin a, maternal screen",blood,chemistry
51691,mcv,blood,chemistry
50875,anti-parietal cell antibody,blood,chemistry
51008,valproic acid,blood,chemistry
51570,"bilirubin, neonatal, indirect",blood,chemistry
51616,epstein-barr virus igg ab value,blood,chemistry
51723,rubella,blood,chemistry
51739,total co2,blood,chemistry
52642,troponin i,blood,chemistry
53148,anti hbe,blood,chemistry
50891,c4,blood,chemistry
50943,hepatitis c virus antibody,blood,chemistry
50947,i,blood,chemistry
51642,hemoglobin  a1,blood,chemistry
51728,serum b12,blood,chemistry
52535,chloride,blood,chemistry
53135,"acid phosphatase, prostatic fraction",blood,chemistry
53151,anti-la,blood,chemistry
50855,absolute hemoglobin,blood,chemistry
50919,edta hold,blood,chemistry
50963,ntprobnp,blood,chemistry
50996,"tissue transglutaminase ab, iga",blood,chemistry
51579,ca 19-9,blood,chemistry
51626,free kappa/free lambda ratio,blood,chemistry
51705,primidone,blood,chemistry
51715,renin,blood,chemistry
51754,vzv igg ab value,blood,chemistry
50924,ferritin,blood,chemistry
50932,gray top hold (plasma),blood,chemistry
50956,lipase,blood,chemistry
50989,"testosterone, free",blood,chemistry
51563,anti-sm,blood,chemistry
51587,cmv igg ab value,blood,chemistry
51600,delete,blood,chemistry
51653,hiv 1 ab confirmation,blood,chemistry
51719,reserved3,blood,chemistry
53134,absolute other wbc,blood,chemistry
50873,anti-nuclear antibody,blood,chemistry
50880,benzodiazepine screen,blood,chemistry
50889,c-reactive protein,blood,chemistry
50920,estimated gfr (mdrd equation),blood,chemistry
51558,antirnp,blood,chemistry
51619,epstein-barr virus vca igg ab,blood,chemistry
51665,hpe9,blood,chemistry
51736,stx5,blood,chemistry
51605,delta/dlt,blood,chemistry
51679,lap,blood,chemistry
51684,"ld, isoenzyme 5",blood,chemistry
51703,pepgel,blood,chemistry
51753,vzv igg ab,blood,chemistry
52551,d-dimer,blood,chemistry
53089,"bilirubin, total",blood,chemistry
53139,aldosterone,blood,chemistry
50909,cortisol,blood,chemistry
50910,creatine kinase (ck),blood,chemistry
50951,immunoglobulin m,blood,chemistry
51586,cmv igg ab,blood,chemistry
51630,gamma,blood,chemistry
51662,hpe6,blood,chemistry
51701,"osmolality, calculated",blood,chemistry
51702,park,blood,chemistry
53133,absolute neutrophil,blood,chemistry
51002,troponin i,blood,chemistry
51624,free calcium,blood,chemistry
51639,hematocrit,blood,chemistry
51644,hemoglobin  c,blood,chemistry
51663,hpe7,blood,chemistry
52548,cryoglobulin,blood,chemistry
53149,anti-hbs,blood,chemistry
50988,testosterone,blood,chemistry
51571,billed,blood,chemistry
51654,hiv 1 viral load,blood,chemistry
53085,albumin,blood,chemistry
53093,gamma glutamyltranferase,blood,chemistry
50961,methotrexate,blood,chemistry
51655,hiv 2 ab confirmation,blood,chemistry
51666,h. pylori igg ab,blood,chemistry
51718,reserved1,blood,chemistry
51765,ee3,blood,chemistry
53136,adrenocorticotrophic hormone,blood,chemistry
50872,anti-neutrophil cytoplasmic antibody,blood,chemistry
50903,cholesterol ratio (total/hdl),blood,chemistry
50962,n-acetylprocainamide (napa),blood,chemistry
51001,triiodothyronine (t3),blood,chemistry
51671,ifegel,blood,chemistry
53131,5' nucleotidase,blood,chemistry
50934,h,blood,chemistry
50937,hepatitis a virus antibody,blood,chemistry
51614,epstein-barr virus  ebna igg ab,blood,chemistry
51674,immunoglobulin e,blood,chemistry
51737,stx6,blood,chemistry
51747,treponemal antibody test,blood,chemistry
51760,z,blood,chemistry
51768,ee6,blood,chemistry
53152,hiv final,blood,chemistry
50853,25-oh vitamin d,blood,chemistry
50856,acetaminophen,blood,chemistry
50929,gentamicin,blood,chemistry
51588,cmv igm ab,blood,chemistry
51591,confirmation,blood,chemistry
51595,"creatine kinase, isoenzyme mb",blood,chemistry
51603,delete,blood,chemistry
51661,hpe5,blood,chemistry
51677,k (green),blood,chemistry
51727,send out,blood,chemistry
53095,lyme vsie/pepc10 antibody,blood,chemistry
51954,cdt027,stool,chemistry
51945,norovirus genogroup i,stool,chemistry
51953,voided specimen,stool,chemistry
51928,alpha-1,stool,chemistry
51934,c diff toxin antigen assay,stool,chemistry
51941,"glucose, stool",stool,chemistry
51931,beta,stool,chemistry
51937,"creatinine, stool",stool,chemistry
51064,"potassium, stool",stool,chemistry
51926,(albumin),stool,chemistry
51951,"urea nitrogen, stool",stool,chemistry
51061,"bicarbonate, stool",stool,chemistry
51947,o & p,stool,chemistry
51063,"osmolality, stool",stool,chemistry
51925,72 hr fat,stool,chemistry
51952,"uric acid, stool",stool,chemistry
51062,"chloride, stool",stool,chemistry
51065,"sodium, stool",stool,chemistry
51935,"cholesterol, stool",stool,chemistry
51938,cryptococ,stool,chemistry
51933,c. diff pcr,stool,chemistry
51930,"amylase, stool",stool,chemistry
51948,sudan stain,stool,chemistry
51946,norovirus genogroup ii,stool,chemistry
51950,"triglycerides, stool",stool,chemistry
51944,"lactate dehydrogenase, stool",stool,chemistry
51929,alpha-2,stool,chemistry
51940,gamma,stool,chemistry
51942,"igg, stool",stool,chemistry
51943,"immunoelectrophoresis, stool",stool,chemistry
51936,clostrid,stool,chemistry
51927,"albumin, stool",stool,chemistry
51955,,stool,chemistry
51932,"bilirubin, total, stool",stool,chemistry
51949,"total protein, stool",stool,chemistry
51956,cdt027,stool,chemistry
51939,fl scan,stool,chemistry
51983,"iron, urine",urine,chemistry
51097,"potassium, urine",urine,chemistry
51967,blood,urine,chemistry
51976,"cortisol, urine",urine,chemistry
51070,"albumin/creatinine, urine",urine,chemistry
51988,o & p,urine,chemistry
52016,z,urine,chemistry
52019,pan2,urine,chemistry
51091,"myoglobin, urine",urine,chemistry
51073,"amylase/creatinine ratio, urine",urine,chemistry
51081,"creatinine, serum",urine,chemistry
51079,"cocaine, urine",urine,chemistry
51995,study urine,urine,chemistry
52004,utx1,urine,chemistry
51098,"prot. electrophoresis, urine",urine,chemistry
51986,neisseria gonorrhoeae,urine,chemistry
51071,"amphetamine screen, urine",urine,chemistry
51072,"amylase, urine",urine,chemistry
51086,"immunofixation, urine",urine,chemistry
51987,nitrite,urine,chemistry
52006,utx3,urine,chemistry
52014,voided specimen,urine,chemistry
51066,24 hr calcium,urine,chemistry
51957,17-hydroxycorticosteroids,urine,chemistry
51989,oxycodone,urine,chemistry
52017,"zinc, urine",urine,chemistry
51994,specific gravity,urine,chemistry
51069,"albumin, urine",urine,chemistry
51991,"propoxyphene, urine",urine,chemistry
51102,"total protein, urine",urine,chemistry
52013,vanillylmandelic acid,urine,chemistry
51084,"glucose, urine",urine,chemistry
51089,marijuana,urine,chemistry
51966,bilirubin,urine,chemistry
51984,ketone,urine,chemistry
51998,upepgel,urine,chemistry
51083,"ethanol, urine",urine,chemistry
51104,"urea nitrogen, urine",urine,chemistry
51960,aldolase,urine,chemistry
51972,chlamydia trachomatis,urine,chemistry
51974,"copper, urine",urine,chemistry
52008,utx5,urine,chemistry
52015,xylose,urine,chemistry
52018,pan1,urine,chemistry
51095,"phosphate, urine",urine,chemistry
52007,utx4,urine,chemistry
51999,urine amylase,urine,chemistry
